"order","suborder","greatgroup","subgroup","edition","taxon","newcode","criterion"
"J","JA","JAI","JAID","13","Fragic Glossaqualfs","JAID","JAID. Other Glossaqualfs that  meet item 1 below:"
"J","JA","JAI","JAIE","13","Aeric Glossaqualfs","JAIE","JAIE. Other Glossaqualfs that  meet item 2 below:"
"J","JA","JAD","JADC","13","Albic Glossic Natraqualfs","JADC","JADC. Other Natraqualfs that  meet items 1  and  2 below :"
"J","JA","JAD","JADD","13","Albic Natraqualfs","JADD","JADD. Other Natraqualfs that   meet item 2 below:"
"J","JA","JAD","JADE","13","Glossic Natraqualfs","JADE","JADE. Other Natraqualfs that meet item 1 below:"
"J","JB","JBB","JBBH","13","Xerollic Glossocryalfs","JBBH","JBBH. Other Glossocryalfs that  meet items 1 , 2, 3,  and   4 below :"
"J","JB","JBB","JBBI","13","Umbric Xeric Glossocryalfs","JBBI","JBBI. Other Glossocryalfs that meet items 1  and  2 below:"
"J","JB","JBB","JBBJ","13","Ustollic Glossocryalfs","JBBJ","JBBJ. Other Glossocryalfs that meet  items 2, 3,  and  4 below:"
"J","JB","JBB","JBBM","13","Mollic Glossocryalfs","JBBM","JBBM. Other Glossocryalfs that  meet items 1  and  2 below :"
"J","JB","JBB","JBBN","13","Umbric Glossocryalfs","JBBN","JBBN.    Other Glossocryalfs that  meet item 1 below:"
"J","JB","JBC","JBCO","13","Mollic Haplocryalfs","JBCO","JBCO. Other Haplocryalfs that  meet items 1  and  2  below :"
"J","JB","JBC","JBCP","13","Umbric Haplocryalfs","JBCP","JBCP.   Other Haplocryalfs that meet item 1 below:"
"J","JB","JBC","JBCQ","13","Eutric Haplocryalfs","JBCQ","JBCQ. Other Haplocryalfs that meet item 2 below:"
"J","JE","JEJ","JEJB","13","Aquertic Chromic   Hapludalfs","JEJB","JEJB. Other Hapludalfs that  meet items 1, 2,  and  3 below :"
"J","JE","JEJ","JEJC","13","Aquertic Hapludalfs","JEJC","JEJC . Other Hapludalfs that   meet items  1  and  2 below:"
"J","JE","JEJ","JEJD","13","Oxyaquic Vertic Hapludalfs","JEJD","JEJD. Other Hapludalfs that meet item s 1  and  4 below:"
"J","JE","JEJ","JEJF","13","Vertic Hapludalfs","JEJF","JEJF.     Other Hapludalfs that meet item 1 below:"
"J","JE","JEJ","JEJT","13","Mollic Oxyaquic Hapludalfs","JEJT","JEJT. Other Hapludalfs that  meet items 1  and  2 below :"
"J","JE","JEJ","JEJU","13","Oxyaquic Hapludalfs","JEJU","JEJU. Other Hapludalfs that meet item 2 below:"
"J","JE","JEE","JEEA","13","Plinthaquic Kandiud alf s","JEEA","JEEA. Kandiudalfs that  meet items 1  and  2 below :"
"J","JE","JEE","JEEB","13","Aquic Kandiudalfs","JEEB","JEEB. Other Kandiudalfs that meet item  1 below:"
"J","JE","JEE","JEED","13","Arenic Plinthic Kandiudalfs","JEED","JEED. Other Kandiudalfs   that  meet items 1  and  2 below :"
"J","JE","JEE","JEEE","13","Grossarenic Plinthic Kandiudalfs","JEEE","JEEE. Other Kandiudalfs that  meet items 2  and  3 below :"
"J","JE","JEE","JEEF","13","Arenic Kandiudalfs","JEEF","JEEF. Other Kandiudalfs that  meet item 1 below:"
"J","JE","JEE","JEEG","13","Grossarenic   Kandiudalfs","JEEG","JEEG. Other Kandiudalfs that  meet item 3 below:"
"J","JE","JEE","JEEH","13","Plinthic Kandiudalfs","JEEH","JEEH. Other Kandiudalfs that meet item 2 below:"
"J","JE","JEG","JEGG","13","Glossaquic Paleudalfs","JEGG","JEGG. Other Paleudalfs that meet items 1  and  3 below:"
"J","JE","JEG","JEGH","13","Albaquic Paleudalfs","JEGH","JEGH. Other Paleudalfs that meet items  1  and  4 below:"
"J","JC","JCH","JCHG","13","Aquic Arenic Haplustalfs","JCHG","JCHG. Other Haplustalfs that  meet items 1  and  2 below :"
"J","JC","JCH","JCHH","13","Aquultic Haplustalfs","JCHH","JCHH. Other Haplustalfs that  meet items 1  and  3 below:"
"J","JC","JCH","JCHI","13","Aquic Haplustalfs","JCHI","JCHI. Other Haplustalfs that meet item 1 below:"
"J","JC","JCH","JCHN","13","Arenic Aridic Haplustalfs","JCHN","JCHN.    Other Haplustalfs   that  meet items 1  and  2 below :"
"J","JC","JCH","JCHO","13","Arenic Haplustalfs","JCHO","JCHO. Other Haplustalfs that meet item 1 below:"
"J","JC","JCH","JCHP","13","Calcidic Haplustalfs","JCHP","JCHP. Other Haplustalfs that  meet items 2  and  3 below:"
"J","JC","JCD","JCDE","13","Arenic Aridic Kandiustalfs","JCDE","JCDE. Other Kandiustalfs   that  meet items 1  and  2 below :"
"J","JC","JCD","JCDF","13","Arenic Kandiustalfs","JCDF","JCDF. Other Kandiustalfs that meet item 1 below"
"J","JC","JCD","JCDG","13","Aridic Kandiustalfs","JCDG","JCDG. Other Kandiustalfs that meet item 2 below:"
"J","JC","JCC","JCCB","13","Leptic Torrertic Natrustalfs","JCCB","JCCB. Other Natrustalfs that  meet items 1, 2,  and  3 below :"
"J","JC","JCC","JCCC","13","Torrertic Natrustalfs","JCCC","JCCC. Other Natrustalfs that meet items 2  and  3 below:"
"J","JC","JCC","JCCD","13","Aquertic Natrustalfs","JCCD","JCCD. Other Natrustalfs that meet items 3  and  4 below:"
"J","JC","JCC","JCCE","13","Aridic Leptic Natrustalfs","JCCE","JCCE. Other Natrustalfs that meet items 1  and  2 below:"
"J","JC","JCC","JCCF","13","Vertic Natrustalfs","JCCF","JCCF. Other Natrustalfs that meet item 3 below:"
"J","JC","JCC","JCCG","13","Aquic Arenic   Natrustalfs","JCCG","JCCG. Other Natrustalfs that  meet items 1  and  2 below :"
"J","JC","JCC","JCCH","13","Aquic Natrustalfs","JCCH","JCCH. Other Natrustalfs that meet item 1 below:"
"J","JC","JCC","JCCI","13","Arenic Natrustalfs","JCCI","JCCI.    Other Natrustalfs that  meet item 2 below:"
"J","JC","JCC","JCCL","13","Haplargidic Natrustalfs","JCCL","JCCL. Other Natrustalfs that  meet items  1  and  2 below :"
"J","JC","JCC","JCCM","13","Aridic Glossic Natrustalfs","JCCM","JCCM. Other Natrustalfs that meet items 2  and  3 below:"
"J","JC","JCC","JCCN","13","Aridic Natrustalfs","JCCN","JCCN. Other Natrustalfs that meet item 2 below:"
"J","JC","JCF","JCFA","13","Aquertic Paleustalfs","JCFA","JCFA. Paleustalfs that  meet items 1  and  2 below :"
"J","JC","JCF","JCFB","13","Oxyaquic Vertic Paleustalfs","JCFB","JCFB. Other Paleustalfs that meet items 1  and  3 below:"
"J","JC","JCF","JCFC","13","Udertic Paleustalfs","JCFC","JCFC. Other Paleustalfs that meet items 1  and  4 below:"
"J","JC","JCF","JCFD","13","Vertic Paleustalfs","JCFD","JCFD. Other Paleustalfs that meet item 1 below:"
"J","JC","JCF","JCFE","13","Aquic Arenic   Paleustalfs","JCFE","JCFE. Other Paleustalfs   that  meet items 1  and  2 below :"
"J","JC","JCF","JCFF","13","Aquic Paleustalfs","JCFF","JCFF. Other Paleustalfs that meet item 1 below:"
"J","JC","JCF","JCFO","13","Calcidic Paleustalfs","JCFO","JCFO. Other Paleustalfs that  meet items 1  and  2 below :"
"J","JC","JCF","JCFP","13","Aridic Paleustalfs","JCFP","JCFP. Other Paleustalfs that meet item 1 below:"
"J","JD","JDA","JDAD","13","Abruptic Haplic Durixeralfs","JDAD","JDAD. Other Durixeralfs that  meet items 1  and  2 below :"
"J","JD","JDA","JDAE","13","Abruptic Durixeralfs","JDAE","JDAE. Other Durixeralfs that meet item 1 below:"
"J","JD","JDA","JDAF","13","Haplic Durixeralfs","JDAF","JDAF. Other Durixeralfs that meet item 2 below:"
"J","JD","JDF","JDFB","13","Aquandic Palexeralfs","JDFB","JDFB. Other Palexeralfs that  meet items 1  and  2 below :"
"J","JD","JDF","JDFC","13","Andic Palexeralfs","JDFC","JDFC. Other Palexeralfs that meet item 2 below:"
"D","DA","DAF","DAFC","13","Hydric Pachic Melanaquands","DAFC","DAFC. Other Melanaquands that  meet items 1  and  2 below :"
"D","DA","DAF","DAFD","13","Hydric Melanaquands","DAFD","DAFD. Other Melanaquands that meet item 1 below:"
"D","DA","DAF","DAFE","13","Pachic Melanaquands","DAFE","DAFE. Other Melanaquands that meet item 2 below:"
"D","DA","DAC","DACB","13","Duric Histic Placaquands","DACB","DACB.  Other Placaquands that  meet items 1  and  2 below:"
"D","DA","DAC","DACC","13","Duric Placaquands","DACC","DACC. Other Placaquands that meet item 2 below :"
"D","DA","DAC","DACD","13","Histic Placaquands","DACD","DACD. Other Placaquands that meet item 1 below:"
"D","DC","DCA","DCAB","13","Eutric Oxyaquic Duricryands","DCAB","DCAB. Other Duricryands that  meet items 1  and  2 below :"
"D","DC","DCA","DCAC","13","Oxyaquic Duricryands","DCAC","DCAC. Other Duricryands that meet item 2 below:"
"D","DC","DCA","DCAD","13","Eutric Duricryands","DCAD","DCAD. Other Duricryands that meet item 1 below:"
"D","DC","DCD","DCDC","13","Eutric Pachic Fulvicryands","DCDC","DCDC. Other Fulvicryands that  meet items 1  and  2 below :"
"D","DC","DCD","DCDD","13","Eutric Fulvicryands","DCDD","DCDD. Other Fulvicryands that meet item 1 below:"
"D","DC","DCD","DCDE","13","Pachic Fulvicryands","DCDE","DCDE. Other Fulvicryands that meet item 2 below:"
"D","DH","DHE","DHEH","13","Eutric Pachic Fulvudands","DHEH","DHEH. Other Fulvudands that  meet items 1  and  2 below :"
"D","DH","DHE","DHEI","13","Eutric Fulvudands","DHEI","DHEI. Other Fulvudands that meet item 1 below:"
"D","DH","DHE","DHEJ","13","Pachic Fulvudands","DHEJ","DHEJ. Other Fulvudands that meet item 2 below:"
"D","DH","DHF","DHFC","13","Aquic Duric Hapludands","DHFC","DHFC. Other Hapludands that  meet items 1  and  2 below :"
"D","DH","DHF","DHFD","13","Duric Hapludands","DHFD","DHFD. Other Hapludands that  meet item 1 below:"
"D","DH","DHF","DHFE","13","Aquic Hapludands","DHFE","DHFE. Other Hapludands that meet item 2 below:"
"D","DH","DHF","DHFH","13","Acrudoxic Hydric Hapludands","DHFH","DHFH. Other Hapludands that  meet items 1  and  2 below :"
"D","DH","DHF","DHFI","13","Acrudoxic Thaptic Hapludands","DHFI","DHFI. Other Hapludands that meet items 1  and  3 below:"
"D","DH","DHF","DHFJ","13","Acrudoxic Ultic Hapludands","DHFJ","DHFJ. Other Hapludands that meet items  1  and  4 below:"
"D","DH","DHF","DHFK","13","Acrudoxic Hapludands","DHFK","DHFK. Other Hapludands that meet item 1 below:"
"D","DH","DHF","DHFM","13","Hydric Thaptic   Hapludands","DHFM","DHFM. Other Hapludands that  meet items 1  and  2 below :"
"D","DH","DHF","DHFN","13","Hydric Hapludands","DHFN","DHFN. Other Hapludands that meet item 1  below:"
"D","DH","DHF","DHFO","13","Eutric Thaptic   Hapludands","DHFO","DHFO. Other Hapludands that meet items 2  and  3 below:"
"D","DH","DHF","DHFP","13","Thaptic Hapludands","DHFP","DHFP. Other Hapludands that meet item 2 below:"
"D","DH","DHF","DHFQ","13","Eutric Hapludands","DHFQ","DHFQ. Other Hapludands that meet item 3 below:"
"D","DH","DHD","DHDC","13","Acrudoxic Thaptic   Hydrudands","DHDC","DHDC. Other Hydrudands that  meet items 1  and  2 below:"
"D","DH","DHD","DHDD","13","Acrudoxic Hydrudands","DHDD","DHDD. Other Hydrudands that meet item 1 below:"
"D","DH","DHD","DHDE","13","Thaptic Hydrudands","DHDE","DHDE. Other Hydrudands that meet item 2 below:"
"D","DH","DHC","DHCD","13","Acrudoxic Vitric Melanudands","DHCD","DHCD. Other Melanudands that  meet items 1  and  2 below :"
"D","DH","DHC","DHCE","13","Acrudoxic Hydric Melanudands","DHCE","DHCE. Other Melanudands that meet items 1  and  3 below:"
"D","DH","DHC","DHCF","13","Acrudoxic Melanudands","DHCF","DHCF.  Other Melanudands that meet item 1 below:"
"D","DH","DHC","DHCG","13","Pachic Vitric   Melanudands","DHCG","DHCG. Other Melanudands  that  meet  items 1  and  2 below :"
"D","DH","DHC","DHCH","13","Vitric   Melanudands","DHCH","DHCH. Other Melanudands that meet item 2 below:"
"D","DH","DHC","DHCI","13","Hydric Pachic Melanudands","DHCI","DHCI. Other Melanudands that  meet items 1  and  2 below :"
"D","DH","DHC","DHCJ","13","Pachic Melanudands","DHCJ","DHCJ. Other Melanudands that meet item 2 below:"
"D","DH","DHC","DHCK","13","Hydric Melanudands","DHCK","DHCK.    Other Melanudands that meet item 1 below:"
"D","DG","DGB","DGBC","13","Dystric Vitric   Haplustands","DGBC","DGBC. Other Haplustands that  meet items 1  and  2 below :"
"D","DG","DGB","DGBD","13","Vitric   Haplustands","DGBD","DGBD.  Other Haplustands that meet item 2 below:"
"D","DE","DEC","DECF","13","Alfic Humic Haploxerands","DECF","DECF. Other Haploxerands that  meet items 1  and  2 below :"
"D","DE","DEC","DECG","13","Alfic Haploxerand s","DECG","DECG. Other Haploxerands that meet item 2 below:"
"G","GE","GEE","GEEB","13","Xerertic Calciargids","GEEB","GEEB. Other Calciargids that  meet item s  1  and  2 below :"
"G","GE","GEE","GEEC","13","Ustertic Calciargids","GEEC","GEEC. Other Calciargids that meet items  1  and  3 below:"
"G","GE","GEE","GEED","13","Vertic Calciargids","GEED","GEED. Other Calciargids that meet item 1 below:"
"G","GE","GEE","GEEF","13","Arenic Ustic Calciargids","GEEF","GEEF. Other Calciargids   that  meet items 1  and  2 below :"
"G","GE","GEE","GEEG","13","Arenic Calciargids","GEEG","GEEG. Other Calciargids that meet item 1 below:"
"G","GE","GEE","GEEH","13","Durinodic Xeric Calciargids","GEEH","GEEH. Other Calciargids that  meet items 1  and  2 below :"
"G","GE","GEE","GEEI","13","Durinodic Calciargids","GEEI","GEEI. Other Calciargids that meet item 1 below:"
"G","GE","GEE","GEEJ","13","Petronodic Xeric Calciargids","GEEJ","GEEJ. Other Calciargids that  meet items 1  and  2 below :"
"G","GE","GEE","GEEK","13","Petronodic Ustic   Calciargids","GEEK","GEEK. Other Calciargids that meet  items 1  and  3 below:"
"G","GE","GEE","GEEL","13","Petronodic   Calciargids","GEEL","GEEL. Other Calciargids that meet item 1 below:"
"G","GE","GEE","GEEM","13","Vitrixerandic   Calciargids","GEEM","GEEM. Other Calciargids that  meet item s 1  and  2 below :"
"G","GE","GED","GEDC","13","Vitrixerandic   Gypsiargids","GEDC","GEDC. Other Gypsiargids that  meet items 1  and  2 below :"
"G","GE","GED","GEDD","13","Vitrandic Gypsiargids","GEDD","GEDD. Other Gypsiargids that meet item 2 below :"
"G","GE","GEF","GEFE","13","Xerertic Haplargids","GEFE","GEFE. Other Haplargids that  meet items 1  and  2 below :"
"G","GE","GEF","GEFF","13","Ustertic Haplargids","GEFF","GEFF. Other Haplargids that meet items 1  a nd  3 below:"
"G","GE","GEF","GEFG","13","Vertic Haplargids","GEFG","GEFG. Other Haplargids that meet item 1 below:"
"G","GE","GEF","GEFA","13","Lithic Ruptic-Entic Haplargids","GEFA","GEFA. Haplargids that  meet items 1  and  2 below :"
"G","GE","GEF","GEFB","13","Lithic Xeric Haplargids","GEFB","GEFB. Other Haplargids that meet items 1  and  3 below:"
"G","GE","GEF","GEFC","13","Lithic Ustic Haplargids","GEFC","GEFC. Other Haplargids that meet items 1  and  4 below:"
"G","GE","GEF","GEFD","13","Lithic Haplargids","GEFD","GEFD. Other Haplargids that meet item 1 below:"
"G","GE","GEF","GEFI","13","Arenic Ustic   Haplargids","GEFI","GEFI. Other Haplargids   that  meet items 1  and  2 below :"
"G","GE","GEF","GEFJ","13","Arenic Haplargids","GEFJ","GEFJ. Other Haplargids that meet item 1 below:"
"G","GE","GEF","GEFK","13","Durinodic Xeric Haplargids","GEFK","GEFK. Other Haplargids that  meet items 1  and  2 below :"
"G","GE","GEF","GEFL","13","Durinodic Haplargids","GEFL","GEFL. Other Haplargids that  meet item 1 below:"
"G","GE","GEF","GEFM","13","Petronodic Ustic Haplargids","GEFM","GEFM. Other Haplargids that  meet items 1  and  2 below :"
"G","GE","GEF","GEFN","13","Petronodic Haplargids","GEFN","GEFN.  Other Haplargids that meet item 1 below:"
"G","GE","GEF","GEFO","13","Vitrixerandic Haplargids","GEFO","GEFO. Other Haplargids that  meet items 1  and  2 below :"
"G","GE","GEF","GEFP","13","Vitrandic Haplargids","GEFP","GEFP. Other Haplargids that meet item 2 below:"
"G","GE","GEB","GEBA","13","Lithic Xeric Natrargids","GEBA","GEBA. Natrargids that  meet items 1  and  2 below :"
"G","GE","GEB","GEBB","13","Lithic Ustic Natrargids","GEBB","GEBB. Other Natrargids that meet items 1  and  3 below:"
"G","GE","GEB","GEBC","13","Lithic Natrargids","GEBC","GEBC. Other Natrargids that meet item 1 below:"
"G","GE","GEB","GEBD","13","Xerertic Natrargids","GEBD","GEBD. Other Natrargids   that  meet items 1  and  2 below :"
"G","GE","GEB","GEBE","13","Ustertic Natrargids","GEBE","G EBE. Other Natrargids that meet items  1   and  3  below :"
"G","GE","GEB","GEBF","13","Vertic Natrargids","GEBF","GEBF. Other Natrargids that meet item  1  below:"
"G","GE","GEB","GEBH","13","Durinodic Xeric Natrargids","GEBH","GEBH. Other Natrargids that  meet items 1  and  2 below :"
"G","GE","GEB","GEBI","13","Durinodic Natrargids","GEBI","GEBI. Other Natrargids that meet item 1 below:"
"G","GE","GEB","GEBM","13","Haploxeralfic   Natrargids","GEBM","GEBM. Other Natrargids that meet  items 1  and  3 below:"
"G","GE","GEB","GEBN","13","Haplic Natrargids","GEBN","GEBN. Other Natrargids that meet item 1 below:"
"G","GE","GEB","GEBO","13","Vitrixerandic Natrargids","GEBO","GEBO. Other Natrargids that  meet items 1  and  2 below :"
"G","GE","GEB","GEBP","13","Vitrandic Natrargids","GEBP","GEBP. Other Natrargids that meet item 2 below:"
"G","GE","GEC","GECC","13","Arenic Ustic Paleargids","GECC","GECC. Other Paleargids   that  meet items 1  and  2 below :"
"G","GE","GEC","GECD","13","Arenic Paleargids","GECD","GECD. Other Paleargids that meet item 1 below:"
"G","GE","GEC","GECG","13","Durinodic Paleargids","GECG","GECG. Other Paleargids that meet item 1 below:"
"G","GE","GEC","GECH","13","Petronodic Ustic Paleargids","GECH","GECH. Other Paleargids that  meet items 1  and  2 below :"
"G","GE","GEC","GECI","13","Petronodic Paleargids","GECI","GECI. Other Paleargids that  meet item 1 below:"
"G","GE","GEC","GECJ","13","Vitrixerandic   Paleargids","GECJ","GECJ. Other Paleargids that  meet items 1  and  2 below :"
"G","GE","GEC","GECK","13","Vitrandic Paleargids","GECK","GECK. Other Paleargids that meet item 2 below:"
"G","GE","GEA","GEAA","13","Petrogypsic   Ustic   Petroargids","GEAA","GEAA. Petroargids that  meet items 1  and  2 below :"
"G","GE","GEA","GEAC","13","Duric Xeric Petroargids","GEAC","GEAC. Other Petroargids that  meet items 1  and  2 below :"
"G","GE","GEA","GEAD","13","Duric Petroargids","GEAD","GEAD. Other Petroargids that meet item 1 below:"
"G","GF","GFB","GFBA","13","Lithic Xeric Haplocalcids","GFBA","GFBA. Haplocalcids that  meet items 1  and  2 below :"
"G","GF","GFB","GFBB","13","Lithic Ustic Haplocalcids","GFBB","GFBB. Other Haplocalcids that meet items 1  and  3 below:"
"G","GF","GFB","GFBC","13","Lithic Haplocalcids","GFBC","GFBC. Other Haplocalcids that  meet item 1 below:"
"G","GF","GFB","GFBG","13","Duric Xeric Haplocalcids","GFBG","GFBG. Other Haplocalcids that  meet items 1  and  2 below :"
"G","GF","GFB","GFBH","13","Duric Haplocalcids","GFBH","GFBH. Other Haplocalcids that meet item 1 below:"
"G","GF","GFB","GFBE","13","Aquic Durinodic Haplocalcids","GFBE","GFBE. Other Haplocalcids   that   meet items 1  and  2 below :"
"G","GF","GFB","GFBF","13","Aquic Haplocalcids","GFBF","GFBF. Other Haplocalcids that   meet item 1 below:"
"G","GF","GFB","GFBI","13","Durinodic Xeric   Haplocalcids","GFBI","GFBI. Other Haplocalcids that  meet items 1  an d  2 below :"
"G","GF","GFB","GFBJ","13","Durinodic Haplocalcids","GFBJ","GFBJ. Other Haplocalcids that  meet item 1 below:"
"G","GF","GFB","GFBK","13","Petronodic Xeric  Haplocalcids","GFBK","GFBK. Other Haplocalcids that  meet items 1  and  2 below :"
"G","GF","GFB","GFBL","13","Petronodic Ustic  Haplocalcids","GFBL","GFBL. Other Haplocalcids that meet items 1  and  3 below:"
"G","GF","GFB","GFBM","13","Petronodic  Haplocalcids","GFBM","GFBM. Other Haplocalcids that meet item 1 below:"
"G","GF","GFB","GFBN","13","Sodic Xeric   Haplocalcids","GFBN","GFBN.  Other Haplocalcids that  meet items 1  and  2 below :"
"G","GF","GFB","GFBO","13","Sodic Ustic Haplocalcids","GFBO","GFBO. Other Haplocalcids that meet items 1  and  3 below:"
"G","GF","GFB","GFBP","13","Sodic Haplocalcids","GFBP","GFBP.      Other Haplocalcids that meet item 1 below:"
"G","GF","GFB","GFBQ","13","Vitrixerandic Haplocalcids","GFBQ","R R GFBQ.  Other Haplocalcids that   meet items 1  and  2 below :"
"G","GF","GFB","GFBR","13","Vitrandic Haplocalcids","GFBR","I   GFBR. Other Haplocalcids that meet item 2 below:"
"G","GF","GFA","GFAF","13","Calcic Lithic Petrocalcids","GFAF","GFAF. Other Petrocalcids that  meet items 1  and   2 below :"
"G","GF","GFA","GFAG","13","Calcic Petrocalcids","GFAG","GFAG. Other Petrocalcids that  meet item 1 below :"
"G","GF","GFA","GFAC","13","Xeralfic Petrocalcids","GFAC","GFAC. Other Petrocalcids that  meet items 1  and  2 below :"
"G","GF","GFA","GFAD","13","Ustalfic Petrocalcids","GFAD","GFAD. Other Petrocalcids that meet items 1  and  3 below:"
"G","GF","GFA","GFAE","13","Argic Petrocalcids","GFAE","GFAE. Other Petrocalcids that meet item 1 below:"
"G","GG","GGA","GGAB","13","Durinodic Xeric   Aquicambids","GGAB","GGAB. Other Aquicambids that  meet items 1  and  2 below :"
"G","GG","GGA","GGAC","13","Durinodic   Aquicambids","GGAC","GGAC. Other Aquicambids that meet item 1 below:"
"G","GG","GGA","GGAE","13","Vitrixerandic Aquicambids","GGAE","GGAE. Other Aquicambids that  meet items 1  and  2 below :"
"G","GG","GGA","GGAF","13","Vitrandic   Aquicambids","GGAF","GGAF. Other Aquicambids that meet item 2 below:"
"G","GG","GGC","GGCA","13","Lithic Xeric Haplocambids","GGCA","GGCA. Haplocambids that  meet items 1  and  2 below :"
"G","GG","GGC","GGCB","13","Lithic Ustic Haplocambids","GGCB","GGCB. Other Haplocambids that   meet items 1  and  3 below :"
"G","GG","GGC","GGCC","13","Lithic Haplocambids","GGCC","GGCC. Other Haplocambids that  meet item 1 below:"
"G","GG","GGC","GGCD","13","Xerertic Haplocambids","GGCD","GGCD.  Other Haplocambids that   meet items 1  and   2 below :"
"G","GG","GGC","GGCE","13","Ustertic Haplocambids","GGCE","GGCE. Other Haplocambids that meet items 1  and  3 below:"
"G","GG","GGC","GGCF","13","Vertic Haplocambids","GGCF","GGCF. Other Haplocambids that meet item 1 below:"
"G","GG","GGC","GGCG","13","Durinodic Xeric Haplocambids","GGCG","GGCG. Other Haplocambids that  meet items 1  and  2 below :"
"G","GG","GGC","GGCH","13","Durinodic Haplocambids","GGCH","GGCH. Other Haplocambids that meet item  1 below:"
"G","GG","GGC","GGCJ","13","Petronodic Ustic  Haplocambids","GGCJ","GGCJ. Other Haplocambids that meet items 1   and  3 below:"
"G","GG","GGC","GGCK","13","Petronodic  Haplocambids","GGCK","GGCK. Other Haplocambids that meet item 1 below:"
"G","GG","GGC","GGCL","13","Sodic Xeric Haplocambids","GGCL","GGCL. Other Haplocambids that  meet items 1  and  2 below :"
"G","GG","GGC","GGCM","13","Sodic Ustic Haplocambids","GGCM","GGCM. Other Haplocambids that meet items 1  and  3 below:"
"G","GG","GGC","GGCN","13","Sodic Haplocambids","GGCN","GGCN.  Other Haplocambids that meet item 1 below:"
"G","GG","GGC","GGCO","13","Vitrixerandic Haplocambids","GGCO","GGCO. Other Haplocambids that  meet items 1  and  2 below :"
"G","GG","GGC","GGCP","13","Vitrandic Haplocambids","GGCP","GGCP. Other Haplocambids that meet item 2 below:"
"G","GG","GGC","GGCR","13","Ustifluventic Haplocambids","GGCR","GGCR. Other Haplocambids that meet items 1, 3,  and  4 below:"
"G","GG","GGC","GGCS","13","Fluventic   Haplocambids","GGCS","GGCS. Other Haplocambids that meet items 1  and  4 below:"
"G","GA","GAD","GADD","13","Vitrixerandic Argicryids","GADD","GADD. Other Argicryids that  meet items 1  and  2 below :"
"G","GA","GAE","GAEB","13","Vitrixerandic   Calcicryids","GAEB","GAEB. Other Calcicryids that  meet  items 1  and  2 below :"
"G","GA","GAE","GAEC","13","Vitrandic Calcicryids","GAEC","GAEC. Other Calcicryids that meet item 2 below:"
"G","GA","GAC","GACB","13","Vitrixerandic Gypsicryids","GACB","GACB. Other Gypsicryids that  meet items 1  and  2 below :"
"G","GA","GAC","GACC","13","Vitrandic Gypsicryids","GACC","GACC. Other Gypsicryids that  meet item 2 below:"
"G","GA","GAF","GAFC","13","Vitrixerandic   Haplocryids","GAFC","GAFC. Other Haplocryids that  meet items 1  and  2 below :"
"G","GA","GAF","GAFD","13","Vitrandic Haplocryids","GAFD","GAFD. Other Haplocryids that meet item 2 below:"
