"soilseriesname","errorkind","context","mlraoffice"
"HENLEY","DUPLICATION OF HEADERS","[REMARKS:,The superactive cation exchange activity class was added in 03/2003 to the taxonomic classification by the National Soil Survey Center on request of the Reno MLRA office, without review of the soil series property data. The remainder of this document has not been updated.]","davis, ca"
"HENLEY","DUPLICATE STANDARD SECTIONS","[REMARKS]","davis, ca"
"HILT","DUPLICATION OF HEADERS","[The superactive cation exchange activity class was added in 03/2003 to the taxonomic classification by the National Soil Survey Center on request of the Reno MLRA office, without review of the soil series property data. The remainder of this document has not been updated.]","davis, ca"
"HOTCREEK","DUPLICATION OF HEADERS","[The superactive cation exchange activity class was added in 03/2003 to the taxonomic classification by the National Soil Survey Center on request of the Reno MLRA office, without review of the soil series property data. The remainder of this document has not been updated.]","davis, ca"
"JELLICO","DUPLICATION OF HEADERS","[The superactive cation exchange activity class was added in 03/2003 to the taxonomic classification by the National Soil Survey Center on request of the Reno MLRA office, without review of the soil series property data. The remainder of this document has not been updated.]","davis, ca"
"LAKI","DUPLICATION OF HEADERS","[REMARKS:,The superactive cation exchange activity class was added in 03/2003 to the taxonomic classification by the National Soil Survey Center on request of the Reno MLRA office, without review of the soil series property data. The remainder of this document has not been updated.]","davis, ca"
"LAKI","DUPLICATE STANDARD SECTIONS","[REMARKS]","davis, ca"
"LILLIS","DUPLICATE STANDARD SECTIONS","[ADDITIONAL DATA]","davis, ca"
"LONKEY","DUPLICATION OF HEADERS","[The superactive cation exchange activity class was added in 03/2003 to the taxonomic classification by the National Soil Survey Center on request of the Reno MLRA office, without review of the soil series property data. The remainder of this document has not been updated.]","davis, ca"
"LUNSFORD","DUPLICATION OF HEADERS","[The superactive cation exchange activity class was added in 03/2003 to the taxonomic classification by the National Soil Survey Center on request of the Reno MLRA office, without review of the soil series property data. The remainder of this document has not been updated.]","davis, ca"
"MADTURKEY","DUPLICATION OF HEADERS","[Hue: 10 YR or 2.5Y]","davis, ca"
"NODHILL","SECTION HEADINGS",NA,"davis, ca"
"OMNI","SECTION HEADINGS",NA,"davis, ca"
"PACKWOOD","DUPLICATION OF HEADERS","[The superactive cation exchange activity class was added in 03/2003 to the taxonomic classification by the National Soil Survey Center on request of the Reno MLRA office, without review of the soil series property data. The remainder of this document has not been updated.]","davis, ca"
"PASTOLLA","DUPLICATION OF HEADERS","[The superactive cation exchange activity class was added in 03/2003 to the taxonomic classification by the National Soil Survey Center on request of the Reno MLRA office, without review of the soil series property data. The remainder of this document has not been updated.]","davis, ca"
"PEGLER","DUPLICATION OF HEADERS","[Sodicity: SAR is 0 to 5.]","davis, ca"
"PITTVILLE","DUPLICATION OF HEADERS","[The superactive cation exchange activity class was added in 03/2003 to the taxonomic classification by the National Soil Survey Center on request of the Reno MLRA office, without review of the soil series property data. The remainder of this document has not been updated.]","davis, ca"
"REWARD","DUPLICATION OF HEADERS","[MLRA SOIL SURVEY REGIONAL OFFICE (MO) RESPONSIBLE: Davis, California,SERIES ESTABLISHED:  Kern County, California, Northwestern Part, 1982.]","davis, ca"
"ROGGER","DUPLICATION OF HEADERS","[The superactive cation exchange activity class was added in 03/2003 to the taxonomic classification by the National Soil Survey Center on request of the Reno MLRA office, without review of the soil series property data. The remainder of this document has not been updated.]","davis, ca"
"SATURDAY","DUPLICATION OF HEADERS","[The superactive cation exchange activity class was added in 03/2003 to the taxonomic classification by the National Soil Survey Center on request of the Reno MLRA office, without review of the soil series property data. The remainder of this document has not been updated.]","davis, ca"
"SHERVAL","DUPLICATION OF HEADERS","[The superactive cation exchange activity class was added in 03/2003 to the taxonomic classification by the National Soil Survey Center on request of the Reno MLRA office, without review of the soil series property data. The remainder of this document has not been updated.]","davis, ca"
"SLEEPER","LINE 1 LOCATION",NA,"davis, ca"
"THOMS","DUPLICATION OF HEADERS","[The superactive cation exchange activity class was added in 03/2003 to the taxonomic classification by the National Soil Survey Center on request of the Reno MLRA office, without review of the soil series property data. The remainder of this document has not been updated.]","davis, ca"
"TOY","SECTION HEADINGS",NA,"davis, ca"
"UDEL","SECTION HEADINGS",NA,"davis, ca"
"USINE","SECTION HEADINGS",NA,"davis, ca"
"WAPPO","SECTION HEADINGS",NA,"davis, ca"
"WOHLY","DUPLICATE STANDARD SECTIONS","[REMARKS]","davis, ca"
