"series","status","SC.taxcl","OSD.taxcl","flag"
"BROWNELL","established","LOAMY-SKELETAL, CARBONATIC, MESIC ENTIC HAPLUSTOLLS","LOAMY-SKELETAL, CARBONATIC, MESIC ENTICHAPLUSTOLLS",TRUE
"BRUNEEL","established","COARSE-LOAMY OVER SANDY OR SANDY-SKELETAL, MIXED, SUPERACTIVE, FRIGID TYPIC ENDOAQUOLLS","COARSE-LOAMY OVER SANDY OR SANDY-SKELETAL, MIXED, SUPERACTIVE, FRIGID TYPIC ENDOAQUOLLSFRIGID TYPIC HAPLAQUOLLS.",TRUE
"CANEZ","established","FINE-LOAMY, MIXED, SUPERACTIVE, THERMIC USTIC HAPLARGIDS","FINE-LOAMY, MIXED, SUPERACTIVE, THERMIC USTIC  HAPLARGIDS",TRUE
"CAPEHORN","established","MEDIAL OVER SANDY OR SANDY-SKELETAL, MIXED, NONACID AERIC CRYAQUEPTS","MEDIAL OVER SANDY OR SANDY-SKELETAL, MIXED,NONACID AERIC CRYAQUEPTS",TRUE
"CAPONA","established","FINE-LOAMY, MIXED, SUPERACTIVE, MESIC ARIDIC HAPLOXEROLLS","FINE-LOAMY, MIXED, SUPERACTIVE, MESIC VITRITORRANDIC HAPLOXEROLLS",TRUE
"CENTERFIELD","established","FINE-LOAMY OVER SANDY OR SANDY-SKELETAL, CARBONATIC, MESIC XERIC TORRIFLUVENTS","FINE-LOAMY OVER SANDY OR SANDY-SKELETAL,CARBONATIC, MESIC XERIC TORRIFLUVENTS",TRUE
"CODLEY","established","FINE-SILTY, CARBONATIC, FRIGID USTIC TORRIORTHENTS","FINE-SILTY, CARBONATIC, FRIGID USTICTORRIORTHENTS",TRUE
"COLEMANTOWN","established","FINE, GLAUCONITIC, MESIC TYPIC ALBAQUULTS","FINE, GLAUCONITIC, MESIC TYPIC ALBAQUULTSDEPTH CLASS: VERY DEEPDRAINAGE CLASS (AGRICULTURAL): POORLY DRAINEDSATURATED HYDRAULIC CONDUCTIVITY CLASS: MODERATELY LOW OR LOWLANDSCAPE: NORTHERN ATLANTIC COASTAL PLAINPARENT MATERIAL: GLAUCONITE BEARING FLUVIOMARINE DEPOSITSSLOPE: 0 TO 2 PERCENTMEAN ANNUAL AIR TEMPERATURE (TYPE LOCATION): 13 DEGREES C. (56 DEGREES F.)MEAN ANNUAL PRECIPITATION (TYPE LOCATION): 1143 MM (45 INCHES)TAXONOMIC CLASS: FINE, GLAUCONITIC, MESIC TYPIC ALBAQUULTS",TRUE
"COLOMBO","established","FINE-LOAMY, MIXED, MESIC TORRIFLUVENTIC HAPLUSTOLLS","FINE-LOAMY, MIXED, MESIC TORRIFLUVENTICHAPLUSTOLLS",TRUE
"COOTER","established","CLAYEY OVER SANDY OR SANDY-SKELETAL, SMECTITIC, THERMIC FLUVAQUENTIC HAPLUDOLLS","",TRUE
"CROY","established","FINE-LOAMY, MIXED, SUPERACTIVE, MESIC NATRIC DURIXERALFS","FINE-LOAMY, MIXED, SUPERACTIVE, MESIC NATRIC DURIXERALFSKEYS TO SOIL TAXONOMY:  EIGHTH EDITION, 1998",TRUE
"DEHLINGER","established","LOAMY-SKELETAL, MIXED, SUPERACTIVE, MESIC PACHIC HAPLOXEROLLS","LOAMY-SKELETAL, MIXED, SUPERACTIVE, MESIC VITRANDIC ARGIXEROLLS",TRUE
"DESCOT","established","COARSE-LOAMY, CARBONATIC, FRIGID USTIC TORRIORTHENTS","COARSE-LOAMY, CARBONATIC, FRIGID USTICTORRIORTHENTS",TRUE
"DOCENA","established","FINE-SILTY, SILICEOUS, SUBACTIVE, THERMIC AQUIC HAPLUDULTS","FINE-SILTY, SILICEOUS, SUBACTIVE, THERMIC AQUIC HAPLUDULTSTYPICALPEDON:  DOCENA SILT LOAM--ON A SOUTH FACING CONCAVE 4PERCENT SLOPE IN A PASTURE AT 530 FEET ELEVATION.(COLORS ARE FOR MOIST SOIL.)A1--0 TO 4 INCHES; DARK GRAYISH BROWN (10YR 4/2) SILT LOAM; MODERATE MEDIUM GRANULAR STRUCTURE; FRIABLE; MANY FINE AND MEDIUM ROOTS; SLIGHTLY ACID; CLEAR WAVY BOUNDARY.  (3 TO 7 INCHES THICK)B21T--4 TO 26 INCHES; BROWNISH YELLOW (10YR 6/6) SILT LOAM;FEW MEDIUM DISTINCT LIGHT BROWNISH GRAY (10YR  6/2) MOTTLES; WEAK FINE AND MEDIUM SUBANGULAR BLOCKY STRUCTURE; FRIABLE; COMMON FINEAND FEW MEDIUM ROOTS; COMMON FINE AND MEDIUM PORES; THINDISCONTINOUS CLAY FILMS ON FACES OF PEDS; LIGHT BROWNISH GRAYMOTTLES ARE IN THE LOWER PART; VERY STRONGLY ACID; DIFFUSE WAVY BOUNDARY.B22T--26 TO 40 INCHES; MOTTLED BROWNISH YELLOW (10YR 6/6),LIGHT YELLOWISH BROWN (10YR 6/4) AND LIGHT GRAY (10YR 7/2) SILTLOAM; WEAK FINE AND MEDIUM SUBANGULAR BLOCKY STRUCTURE; FRIABLE;FEW FINE ROOTS; COMMON FINE PORES; THIN DISCONTINOUS CLAY FILMS ON FACES OF PEDS; VERY STRONGLY ACID; GRADUAL WAVY BOUNDARY.(COMBINED THICKNESS OF THE B21T AND B22T HORIZONS IS 25 TO 55 INCHES.)IIB23T--40 TO 58 INCHES; MOTTLED BROWNISH YELLOW (10YR 6/6), GRAY (10YR 6/1) AND REDDISH YELLOW (7.5YR 6/8) SILTY CLAY LOAM; MODERATE COARSE AND MEDIUM SUBANGULAR BLOCKY STRUCTURE; FIRM; FEW FINE ROOTS; COMMON FINE PORES; THICK CONTINUOUS CLAY FILMS ONFACES OF PEDS; STRONGLY ACID; GRADUAL WAVY BOUNDARY.  (0 TO 35INCHES THICK)IIC--58 TO 65 INCHES; MOTTLED BROWNISH YELLOW (10YR 6/6),GRAY (10YR 6/1) AND REDDISH YELLOW (7.5YR 6/8) SILTY CLAY LOAM; MASSIVE; FIRM; STRONGLY ACID.TYPELOCATION:  JEFFERSON COUNTY, ALABAMA; 3.0 MILES EAST OFBESSEMER, 1,000 FEET EAST AND 1,900 FEET SOUTH OF THE NW CORNER OF SEC. 25, T. 19 S., R.4  W.RANGEINCHARACTERISTICS:  SOLUM THICKNESS IS 40 TO 60 INCHES.DEPTH TO WEATHERED SHALE OR SANDSTONE IS MORE THAN 60 INCHES.  REACTION RANGES FROM MEDIUM ACID TO VERY STRONGLY ACID EXCEPTWHERE THE SURFACE LAYER HAS BEEN LIMED.  MANY PEDONS CONTAIN BLACKOR BROWN, MANGANESE AND IRON CONCRETIONS AND ACCUMULATIONS.THE A HORIZON HAS HUE OF 10YR OR 7.5YR, VALUE OF 3 THROUGH 5, AND CHROMA OF 2 THROUGH 4.  THE THICKNESS OF A HORIZONS WITH VALUES OF3, IS LESS THAN 6 INCHES.  TEXTURE IS GENERALLY SILT LOAM, BUT THE RANGE INCLUDES LOAM AND FINE SANDY LOAM.THE B1 OR A2 HORIZON, WHERE PRESENT, IS SILT LOAM OR LOAM.  THESE HORIZONS HAVE HUE OF 7.5YR THROUGH 2.5Y, VALUE OF 5 OR 6, ANDCHROMA OF 4 OR 6.THE UPPER B2T HORIZON HAS HUE OF 10YR AND 7.5YR, VALUE OF 4THROUGH 6, AND CHROMA OF 4 THROUGH 8, WITH MOTTLES OF CHROMA 2 OR LESS IN THE UPPER 24 INCHES.  TEXTURE IS SILT LOAM OR SILTY CLAY LOAM.  THE LOWER B2T HORIZON IS MOTTLED IN SHADES OF RED, BROWN, YELLOW, AND GRAY OR IT HAS THE SAME HUE, VALUE, AND CHROMA AS THE UPPER B2T HORIZON WITH COMMON TO MANY MOTTLES OF CHROMA 2 OR LESS.THE IIBT HORIZON, WHERE PRESENT, FORMED IN RESIDUAL SHALE AND HAS SILTY CLAY OR SILTY CLAY LOAM TEXTURE, OR IT FORMED IN ALLUVIAL SEDIMENTS AND HAS LOAM, CLAY LOAM, SILTY CLAY LOAM, OR SILT LOAM TEXTURE AND IS SLIGHTLY BRITTLE IN LESS THAN 40 PERCENT OF THEMASS.  HORIZONS WITH THESE CHARACTERISTICS ARE MORE THAN 30 INCHES BELOW THE SURFACE.THE C HORIZON MATERIAL IS VARIABLE IN TEXTURE AND COLOR BUT ISSLOWLY PERMEABLE.  IT IS HIGHLY WEATHERED SHALE, OR FIRM@UNDERCLAY@ WHICH MAY CONTAIN LAYERS OF SOFT COAL, OR ALLUVIAL OR COLLUVIAL SEDIMENTS THAT CONTAIN FEW TO MANY GRAVELS ANDCONCRETIONS.COMPETINGSERIES:  THERE ARE NO OTHER KNOWN SERIES IN THIS FAMILY.  THE ABELL, ALTAVISTA, KIRKSEY, ANDWHITWELL SERIES ARE SIMILAR SOILS IN RELATED FAMILIES.  ABELL, ALTAVISTA, AND WHITWELL SOILS ARE FINE-LOAMY. KIRKSEY SOILS HAVE SILICEOUS MINERALOGY AND SLATE BEDROCK AT 40 TO 60 INCHES.GEOGRAPHICGEOGRAPHIC SETTING:  DOCENA SOILS ARE ON NEARLY LEVEL TO GENT SLOPING DEPRESSIONS, TOESLOPES, HEADS OF DRAINAGEWAYS, AND HIGH STREAM FLOOD PLAINS OF THE APPALACHIAN PLATEAU AND UPLAND FLATS IN LIMESTONE VALLEYS. THESE SOILS FORMED IN ALLUVIAL OR COLLUVIAL SEDIMENTS OR IN THIN ALLUVIAL OR COLLUVIAL SEDIMENTS OVERLYING MATERIAL WEATHERED FROM RESIDUAL SHALE, LOCALLY KNOWN AS@UNDERCLAY.@  SLOPE IS COMMONLY 0 TO 4 PERCENT BUT RANGES TO 6 PERCENT.GEOGRAPHICALLYASSOCIATEDSOILS:  THESE ARE ALBERTVILLE,CHOCCOLOCCO, HOLSTON, MONTEVALLO, NAUVOO, STATE, AND TOWNLEYSERIES.  ALBERTVILLE, HOLSTON, MONTEVALLO, NAUVOO, AND TOWNLEYSOILS ARE ON UPLANDS.  IN ADDITION, ALBERTVILLE AND TOWNLEY SOILS HAVE CLAYEY SUBSOILS AND SHALE BEDROCK WITHIN 60 INCHES OF THE SURFACE, HOLSTON AND NAUVOO SOILS HAVE FINE-LOAMY SUBSOILS, AND MONTEVALLO SOILS HAVE SHALE BEDROCK WITHIN 20 INCHES OF THESURFACE.  CHOCCOLOCCO AND STATE SOILS ARE ON SIMILAR LANDSCAPES,BUT LACK MOTTLES OF CHROMA 2 OR LESS WITHIN THE UPPER 24 INCHES OF THE ARGILLIC HORIZON.DRAINAGEANDPERMEABILITY:  MODERATELY WELL DRAINED.  PERMEABILITYIS MODERATE IN THE UPPER PART OF THE SOLA AND SLOW TO MODERATELYSLOW IN THE LOWER B2T AND C HORIZONS.  A SEASONAL WATER TABLE IS WITHIN 1.5 TO 3 FEET DURING THE WINTER AND EARLY SPRING.  WATERMOVES LATERALLY THROUGH THE SOIL AND SUBSTRATUM IMMEDIATELYBENEATH THE SOIL.  RUNOFF IS SLOW TO MEDIUM.  DOCENA SOILS ARE SUBJECT TO OCCASIONAL SHALLOW FLOODING FOR VERY BRIEF PERIODS.USEANDVEGETATION:  MOST OF THE DOCENA SOILS HAVE BEEN CLEARED AND CROPPED IN THE PAST.  AT PRESENT MOST OF THESE SOILS ARE USED FOR PASTURE.  NATIVE VEGETATION INCLUDES OAKS, YELLOW-POPLAR,HICKORIES, SHORTLEAF AND LOBLOLLY PINE.DISTRIBUTIONANDEXTENT:  APPALACHIAN PLATEAU OF ALABAMA.  POSSIBLYIN GEORGIA AND TENNESSEE.  THE SERIES IS OF SMALL EXTENT.SERIESESTABLISHED:  JEFFERSON COUNTY, ALABAMA, 1980.",TRUE
"DORS","established","COARSE-LOAMY OVER SANDY OR SANDY-SKELETAL, MIXED, SUPERACTIVE, MESIC TYPIC HAPLOCALCIDS","COARSE-LOAMY OVER SANDY OR SANDY-SKELETAL, MIXED, SUPERACTIVE, MESIC TYPIC HAPLOCALCIDSMESIC, TYPIC CALCIORTHIDS.",TRUE
"DUCKBOTTOM","established","VERY-FINE, KAOLINITIC, ACID, THERMIC FLUVAQUENTIC ENDOAQUEPTS","VERY-FINE, KAOLINITIC, ACID, THERMIC FLUVAQUENTIC ENDOAQUEPTSDEPTH CLASS: VERY DEEPDRAINAGE CLASS (AGRICULTURAL): POORLY DRAINEDINTERNAL FREE WATER OCCURRENCE: VERY SHALLOW, PERSISTENTFLOODING FREQUENCY AND DURATION: FREQUENT OR OCCASIONAL FOR BRIEF TO VERY LONG PERIODSPONDING FREQUENCY AND DURATION: NONESLOWEST SATURATED HYDRAULIC CONDUCTIVITY: MODERATELY LOWLANDSCAPE: LOWER TO UPPER COASTAL PLAIN RIVER VALLEYLANDFORM: FLOOD PLAINGEOMORPHIC COMPONENT: FLOOD-PLAIN STEPPARENT MATERIAL: ALLUVIUMSLOPE: 0 TO 2 PERCENTELEVATION (TYPE LOCATION): 120 FEET (36 M)MEAN ANNUAL AIR TEMPERATURE (TYPE LOCATION): 63 DEGREES F  (17.1 C)MEAN ANNUAL PRECIPITATION (TYPE LOCATION): 48 INCHES (1220 MM) & TAXONOMIC CLASS: VERY-FINE, KAOLINITIC, ACID, THERMIC FLUVAQUENTIC ENDOAQUEPTS",TRUE
"DUNUL","established","SANDY-SKELETAL, MIXED, FRIGID TYPIC TORRIORTHENTS","SANDY-SKELETAL, MIXED, FRIGID TYPICTORRIORTHENTS",TRUE
"DURADOS","established","SANDY, MIXED, ISOHYPERTHERMIC FLUVENTIC HAPLUDOLLS","SANDY, MIXED, ISOHYPERTHERMIC FLUVENTICHAPLUDOLLS",TRUE
"EARLE","established","CLAYEY OVER LOAMY, SMECTITIC, ACID, THERMIC VERTIC EPIAQUEPTS","",TRUE
"ELKSEL","established","CLAYEY-SKELETAL, SMECTITIC, FRIGID ULTIC ARGIXEROLLS","CLAYEY-SKELETAL, SMECTITIC, FRIGID ULTIC ARGIXEROLLSARGIXEROLLS.",TRUE
"FANSHAW","established","SANDY-SKELETAL, MIXED, ORTSTEIN TYPIC HAPLOCRYODS","SANDY-SKELETAL, MIXED, ORTSTEIN TYPICHAPLOCRYODS",TRUE
"FIDDLETOWN","established","LOAMY-SKELETAL, MIXED, ACTIVE, MESIC PACHIC HUMIXEREPTS","LOAMY-SKELETAL, MIXED, ACTIVE, MESIC PACHIC HUMIXEREPTSTHE FIDDLETOWN SERIES CONSISTS OF MODERATELY DEEP TO DEEP, WELL DRAINED SOILS FORMED IN MATERIAL DERIVED FROM METASEDIMENTARY SCHISTS AND SLATES. THESE SOILS OCCUR ON HIGH HILLS AND MOUNTAIN SLOPES UNDER MIXED CONIFERS AND HARDWOODS. THE MEAN ANNUAL PRECIPITATION IS ABOUT 920 MM AND THE MEAN ANNUAL AIR TEMPERATURE IS ABOUT 14 DEGREES C.",TRUE
"FIELD","established","MEDIAL OVER SANDY OR SANDY-SKELETAL, MIXED, NONACID, MESIC AQUIC XEROFLUVENTS","MEDIAL OVER SANDY OR SANDY-SKELETAL, MIXED,NONACID, MESIC AQUIC XEROFLUVENTS",TRUE
"FLANNERY","inactive","COARSE-LOAMY, MIXED, FRIGID VITRANDIC DYSTROCHREPTS","COARSE-LOAMY, MIXED, FRIGID VITRANDICDYSTROCHREPTS",TRUE
"FREEWATER","established","SANDY-SKELETAL, MIXED, MESIC FLUVENTIC HAPLOXEROLLS","SANDY-SKELETAL, MIXED, MESIC FLUVENTICHAPLOXEROLLS",TRUE
"FUNTER","established","LOAMY, MIXED, EUIC, FRIGID TERRIC SPHAGNOFIBRISTS","LOAMY, MIXED, EUIC, FRIGID TERRICSPHAGNOFIBRISTS",TRUE
"FURSHUR","established","CLAYEY, SMECTITIC, FRIGID, SHALLOW ABRUPTIC DURIXERALFS","CLAYEY, SMECTITIC, FRIGID, SHALLOW ABRUPTIC DURIXERALFSDURIXERALFS.",TRUE
"GAPPMAYER","established","LOAMY-SKELETAL, MIXED, SUPERACTIVE, FRIGID ALFIC ARGIXEROLLS","LOAMY-SKELETAL, MIXED, SUPERACTIVE, FRIGID ALFIC ARGIXEROLLSTYPIFYING PEDON: GAPPMAYER COBBLY LOAM - RANGELAND(COLORS ARE FOR AIR DRY SOIL UNLESS OTHERWISE NOTED.)O1--2 TO 0 INCHES; OAK LEAVES, TWIGS, AND OTHER PLANT LEAVES.A11--0 TO 6 INCHES; VERY DARK GRAYISH BROWN (10YR 3/2) COBBLY LIGHT LOAM, VERY DARK BROWN (10YR 2/2) MOIST; WEAK VERY FINE GRANULAR STRUCTURE; SOFT, VERY FRIABLE, NONSTICKY, SLIGHTLY PLASTIC; COMMON FINE AND FEW MEDIUM ROOTS; COMMON FINE DISCONTINUOUS PORES; NEUTRAL (PH 6.7); CLEAR SMOOTH BOUNDARY. (2 TO 10 INCHES THICK)A12--6 TO 10 INCHES; BROWN (10YR 4/3) COBBLY LIGHT LOAM, DARK BROWN (10YR 3/3) MOIST; WEAK VERY FINE GRANULAR STRUCTURE; SOFT, VERY FRIABLE, NONSTICKY, SLIGHTLY PLASTIC; MANY FINE AND FEW MEDIUM ROOTS; MANY FINE DISCONTINUOUS PORES; SLIGHTLY ACID (PH 6.5); CLEAR WAVY BOUNDARY. (3 TO 6 INCHES THICK)A21--LO TO L9 INCHES; PALE BROWN (10YR 6/3) VERY COBBLY LIGHT LOAM, BROWN (10YR 5/3) MOIST; WEAK THIN PLATY STRUCTURE; SOFT, FRIABLE, NONSTICKY, SLIGHTLY PLASTIC; COMMON FINE AND FEW MEDIUM ROOTS; COMMON FINE DISCONTINUOUS PORES; SLIGHTLY ACID (PH 6.5); CLEAR WAVY BOUNDARY.  (6 TO 9 INCHES THICK)A22--19 TO 30 INCHES; VERY PALE BROWN (10YR 7/4) VERY COBBLY LOAM, LIGHT YELLOWISH BROWN (10YR 6/4) MOIST; WEAK VERY FINE SUBANGULAR BLOCKY STRUCTURE; SLIGHTLY HARD, FRIABLE, SLIGHTLY STICKY, SLIGHTLY PLASTIC; COMMON FINE AND FEW MEDIUM ROOTS; COMMON FINE DISCONTINUOUS PORES; FEW THIN CLAY FILMS ON FACES OF PEDS AND IN PORES; SLIGHTLY ACID (PH 6.4); GRADUAL WAVY BOUNDARY. (O TO 11 INCHES THICK)B1--30 TO 44 INCHES; LIGHT YELLOWISH BROWN (10YR 6/4) VERY COBBLY LOAM, YELLOWISH BROWN (10YR 5/4) MOIST; WEAK FINE SUBANGULAR BLOCKY STRUCTURE; HARD, FRIABLE, SLIGHTLY STICKY, NONPLASTIC; COMMON FINE AND FEW MEDIUM ROOTS; COMMON FINE DISCONTINUOUS PORES; COMMON THIN CLAY FILMS ON FACES OF PEDS AND IN PORES; SLIGHTLY ACID (PH 6 .4); GRADUAL WAVY            BOUNDARY. (5 TO 14 INCHES THICK)B2T--44 TO 56 INCHES; LIGHT YELLOWISH BROWN (10YR 6/4) VERY COBBLY LOAM, DARK YELLOWISH BROWN (10YR 4/4) MOIST; WEAK FINE SUBANGULAR BLOCKY STRUCTURE; SLIGHTLY HARD, FRIABLE, SLIGHTLY  STICKY, SLIGHTLY PLASTIC; COMMON FINE AND FEW MEDIUM ROOTS; COMMON THIN CLAY FILMS ON FACES OF PEDS AND IN PORES; NEUTRAL (PH 6.5); CLEAR SMOOTH BOUNDARY. (9 TO16 INCHES THICK)B3--56 TO 63 INCHES; YELLOWISH BROWN (10YR 5/4) VERY COBBLY LIGHT LOAM, BROWN (10YR 4/3) MOIST;  MASSIVE; SLIGHTLY HARD, FRIABLE, SLIGHTLY STICKY, SLIGHTLY PLASTIC; COMMON FINE AND VERY FINE ROOTS; COMMON FINE DISCONTINUOUS PORES; FEW THIN CLAY FILMS MAINLY IN PORES; NEUTRAL (PH 7.1); CLEAR SMOOTH BOUNDARY. ( 7 TO 9 INCHES THICK)CLCA--63 TO 72 INCHES; PALE BROWN (10YR 6/3) VERY COBBLY LIGHT LOAM, BROWN (10YR 4/3) MOIST; MASSIVE;            SLIGHTLY HARD, FRIABLE, SLIGHTLY STICKY, SLIGHTLY PLASTIC; FEW VERY FINE ROOTS; FEW VERY FINE DISCONTINUOUS PORES; MODERATELY CALCAREOUS; LIME DISSEMINATED AND IN THREADS; MILDLY ALKALINE (PH 7. 7) .",TRUE
"GARBUTT","established","COARSE-SILTY, MIXED, SUPERACTIVE, CALCAREOUS, MESIC TYPIC TORRIORTHENTS","COARSE-SILTY, MIXED, SUPERACTIVE, CALCAREOUS, MESIC TYPIC TORRIORTHENTSTORRIORTHENTS.",TRUE
"GAVINS","established","LOAMY, CARBONATIC, MESIC, SHALLOW TYPIC USTORTHENTS","LOAMY, CARBONATIC, MESIC, SHALLOW TYPICUSTORTHENTS",TRUE
"GIMLETT","established","LOAMY-SKELETAL, MIXED, SUPERACTIVE, FRIGID PACHIC ULTIC HAPLOXEROLLS","LOAMY-SKELETAL, MIXED, SUPERACTIVE, FRIGID PACHIC ULTIC HAPLOXEROLLSHAPLOXEROLLS.",TRUE
