"soilseriesname","errorkind","context","mlraoffice"
"STERRETT","MULTILINE TYPICAL PEDON","[number of multilines=4]","auburn, al"
"STUCKEY","MULTILINE TYPICAL PEDON","[number of multilines=3]","auburn, al"
"TADLOCK","MULTILINE TYPICAL PEDON","[number of multilines=3]","auburn, al"
"TILLERY","DUPLICATE STANDARD SECTIONS","[ADDITIONAL DATA]","auburn, al"
"TILLOU","MULTILINE TYPICAL PEDON","[number of multilines=7]","auburn, al"
"TOTIER","MULTILINE TYPICAL PEDON","[number of multilines=1]","auburn, al"
"TUCKAHOE","MULTILINE TYPICAL PEDON","[number of multilines=1]","auburn, al"
"VERDUN","MULTILINE TYPICAL PEDON","[number of multilines=3]","auburn, al"
"VERO","MULTILINE TYPICAL PEDON","[number of multilines=1]","auburn, al"
"WADMALAW","MULTILINE TYPICAL PEDON","[number of multilines=1]","auburn, al"
"WESTWEGO","MULTILINE TYPICAL PEDON","[number of multilines=7]","auburn, al"
"WOLFGAP","MULTILINE TYPICAL PEDON","[number of multilines=3]","auburn, al"
"YADKIN","MULTILINE TYPICAL PEDON","[number of multilines=1]","auburn, al"
